image,distance_mm
img_000000.png,0.000000
img_000001.png,0.241643
img_000002.png,0.402901
img_000003.png,0.655997
img_000004.png,0.802824
img_000005.png,1.058072
img_000006.png,1.200199
img_000007.png,1.410164
img_000008.png,1.602658
img_000009.png,1.809812
img_000010.png,2.000939
img_000011.png,2.211557
img_000012.png,2.402278
img_000013.png,2.659445
img_000014.png,2.804500
img_000015.png,3.059619
img_000016.png,3.204603
img_000017.png,3.461346
img_000018.png,3.600071
img_000019.png,3.861145
img_000020.png,4.001530
img_000021.png,4.257945
img_000022.png,4.403790
img_000023.png,4.659999
img_000024.png,4.804633
img_000025.png,5.058468
img_000026.png,5.221597
img_000027.png,5.458154
img_000028.png,5.618366
img_000029.png,5.860365
img_000030.png,6.018594
img_000031.png,6.260476
img_000032.png,6.418364
img_000033.png,6.658766
img_000034.png,6.819011
img_000035.png,7.057491
img_000036.png,7.216315
img_000037.png,7.459686
img_000038.png,7.617656
img_000039.png,7.874581
img_000040.png,8.016373
img_000041.png,8.275354
img_000042.png,8.417934
img_000043.png,8.675333
img_000044.png,8.820044
img_000045.png,9.028218
img_000046.png,9.219228
img_000047.png,9.427958
img_000048.png,9.616700
img_000049.png,9.828736
img_000050.png,10.018312
img_000051.png,10.226523
img_000052.png,10.419417
img_000053.png,10.626933
img_000054.png,10.818595
img_000055.png,11.026943
img_000056.png,11.217626
img_000057.png,11.425873
img_000058.png,11.618875
img_000059.png,11.826367
img_000060.png,12.016291
img_000061.png,12.225324
img_000062.png,12.434078
img_000063.png,12.626227
img_000064.png,12.837744
img_000065.png,13.026085
img_000066.png,13.232643
img_000067.png,13.424578
img_000068.png,13.634204
img_000069.png,13.826965
img_000070.png,14.036114
img_000071.png,14.224313
img_000072.png,14.436669
img_000073.png,14.627415
img_000074.png,14.835782
img_000075.png,15.026895
img_000076.png,15.233602
img_000077.png,15.427543
img_000078.png,15.632328
img_000079.png,15.828222
img_000080.png,16.035094
img_000081.png,16.242010
img_000082.png,16.434592
img_000083.png,16.642031
img_000084.png,16.832167
img_000085.png,17.041982
img_000086.png,17.232430
img_000087.png,17.440358
img_000088.png,17.634665
img_000089.png,17.843725
img_000090.png,18.033808
img_000091.png,18.245646
img_000092.png,18.434670
img_000093.png,18.640955
img_000094.png,18.834467
img_000095.png,19.043692
img_000096.png,19.232327
img_000097.png,19.444960
img_000098.png,19.634198
img_000099.png,19.842123
img_000100.png,20.048990
img_000101.png,20.255454
img_000102.png,20.450606
img_000103.png,20.642550
img_000104.png,20.804887
img_000105.png,21.003498
img_000106.png,21.201929
img_000107.png,21.443389
img_000108.png,21.603800
img_000109.png,21.843630
img_000110.png,22.002229
img_000111.png,22.241773
img_000112.png,22.400986
img_000113.png,22.645362
img_000114.png,22.801541
img_000115.png,23.044768
img_000116.png,23.205042
img_000117.png,23.459629
img_000118.png,23.602897
img_000119.png,23.859280
img_000120.png,24.000418
img_000121.png,24.258586
img_000122.png,24.401925
img_000123.png,24.612158
img_000124.png,24.800557
img_000125.png,25.008595
img_000126.png,25.203075
img_000127.png,25.411634
img_000128.png,25.602747
img_000129.png,25.858983
img_000130.png,26.001557
img_000131.png,26.258727
img_000132.png,26.402778
img_000133.png,26.661088
img_000134.png,26.801887
img_000135.png,27.061708
img_000136.png,27.203361
img_000137.png,27.456167
img_000138.png,27.602417
img_000139.png,27.856443
img_000140.png,28.000555
img_000141.png,28.257947
img_000142.png,28.416811
img_000143.png,28.659205
img_000144.png,28.820887
img_000145.png,29.059640
img_000146.png,29.220142
img_000147.png,29.458888
img_000148.png,29.621163
img_000149.png,29.856607
img_000150.png,30.016161
img_000151.png,30.259390
img_000152.png,30.418424
img_000153.png,30.658517
img_000154.png,30.819142
img_000155.png,31.075988
img_000156.png,31.220226
img_000157.png,31.474971
img_000158.png,31.619606
img_000159.png,31.873193
img_000160.png,32.019432
img_000161.png,32.225249
img_000162.png,32.419428
img_000163.png,32.626348
img_000164.png,32.819217
img_000165.png,33.026738
img_000166.png,33.218479
img_000167.png,33.426815
img_000168.png,33.618153
img_000169.png,33.825845
img_000170.png,34.016982
img_000171.png,34.228872
img_000172.png,34.418335
img_000173.png,34.625561
img_000174.png,34.819171
img_000175.png,35.028692
img_000176.png,35.216553
img_000177.png,35.426263
img_000178.png,35.636630
img_000179.png,35.826289
img_000180.png,36.033707
img_000181.png,36.233531
img_000182.png,36.432348
img_000183.png,36.627961
img_000184.png,36.834339
img_000185.png,37.028725
img_000186.png,37.234201
img_000187.png,37.426187
img_000188.png,37.635270
img_000189.png,37.828895
img_000190.png,38.034210
img_000191.png,38.228603
img_000192.png,38.437157
img_000193.png,38.628764
img_000194.png,38.835257
img_000195.png,39.029502
img_000196.png,39.234546
img_000197.png,39.441559
img_000198.png,39.633879
img_000199.png,39.843995
img_000200.png,40.033057
img_000201.png,40.242216
img_000202.png,40.432203
img_000203.png,40.644811
img_000204.png,40.834592
img_000205.png,41.042057
img_000206.png,41.233993
img_000207.png,41.443064
img_000208.png,41.633356
img_000209.png,41.843700
img_000210.png,42.033521
img_000211.png,42.240436
img_000212.png,42.435634
img_000213.png,42.642442
img_000214.png,42.833534
img_000215.png,43.044464
img_000216.png,43.250480
img_000217.png,43.444245
img_000218.png,43.652287
img_000219.png,43.843124
img_000220.png,44.001962
img_000221.png,44.249486
img_000222.png,44.402900
img_000223.png,44.643308
img_000224.png,44.803087
img_000225.png,45.014052
img_000226.png,45.201662
img_000227.png,45.442389
img_000228.png,45.601611
img_000229.png,45.844613
img_000230.png,46.050755
img_000231.png,46.241716
img_000232.png,46.400870
img_000233.png,46.660340
img_000234.png,46.804077
img_000235.png,47.001730
img_000236.png,47.200865
img_000237.png,47.459587
img_000238.png,47.603014
img_000239.png,47.812261
img_000240.png,48.000961
img_000241.png,48.212792
img_000242.png,48.404638
img_000243.png,48.613194
img_000244.png,48.804840
img_000245.png,49.005446
img_000246.png,49.202630
img_000247.png,49.460406
img_000248.png,49.602627
img_000249.png,49.860690
img_000250.png,50.004578
img_000251.png,50.260476
img_000252.png,50.402800
img_000253.png,50.660011
img_000254.png,50.801451
img_000255.png,51.058972
img_000256.png,51.220461
img_000257.png,51.456088
img_000258.png,51.619003
img_000259.png,51.860788
img_000260.png,52.017909
img_000261.png,52.257808
img_000262.png,52.416099
img_000263.png,52.661425
img_000264.png,52.816286
img_000265.png,53.058850
img_000266.png,53.239241
img_000267.png,53.459165
img_000268.png,53.620105
img_000269.png,53.859230
img_000270.png,54.018120
img_000271.png,54.274424
img_000272.png,54.420300
img_000273.png,54.675775
img_000274.png,54.818847
img_000275.png,55.073067
img_000276.png,55.215783
img_000277.png,55.426672
img_000278.png,55.617100
img_000279.png,55.824470
img_000280.png,56.019095
img_000281.png,56.226319
img_000282.png,56.416361
img_000283.png,56.626737
img_000284.png,56.817583
img_000285.png,57.026654
img_000286.png,57.217689
img_000287.png,57.425062
img_000288.png,57.618634
img_000289.png,57.828798
img_000290.png,58.020669
img_000291.png,58.229101
img_000292.png,58.418105
img_000293.png,58.624047
img_000294.png,58.834987
img_000295.png,59.028658
