image,distance_mm
img_000000.png,0.000000
img_000001.png,0.229197
img_000002.png,0.481916
img_000003.png,0.638817
img_000004.png,0.853062
img_000005.png,1.080779
img_000006.png,1.216664
img_000007.png,1.475024
img_000008.png,1.603822
img_000009.png,1.860649
img_000010.png,2.036052
img_000011.png,2.226392
img_000012.png,2.484293
img_000013.png,2.603271
img_000014.png,2.823411
img_000015.png,3.090463
img_000016.png,3.237335
img_000017.png,3.402137
img_000018.png,3.602376
img_000019.png,3.837768
img_000020.png,4.066744
img_000021.png,4.222701
img_000022.png,4.466923
img_000023.png,4.611542
img_000024.png,4.849135
img_000025.png,5.019641
img_000026.png,5.236413
img_000027.png,5.446202
img_000028.png,5.605760
img_000029.png,5.862100
img_000030.png,6.033285
img_000031.png,6.222201
img_000032.png,6.441926
img_000033.png,6.609394
img_000034.png,6.832738
img_000035.png,7.000488
img_000036.png,7.232425
img_000037.png,7.473764
img_000038.png,7.628234
img_000039.png,7.818840
img_000040.png,8.000155
img_000041.png,8.227229
img_000042.png,8.407080
img_000043.png,8.610350
img_000044.png,8.854439
img_000045.png,9.035419
img_000046.png,9.235872
img_000047.png,9.476099
img_000048.png,9.606024
img_000049.png,9.861186
img_000050.png,10.021859
img_000051.png,10.226003
img_000052.png,10.480326
img_000053.png,10.613969
img_000054.png,10.852341
img_000055.png,11.037886
img_000056.png,11.233592
img_000057.png,11.477364
img_000058.png,11.636226
img_000059.png,11.862576
img_000060.png,12.116340
img_000061.png,12.279069
img_000062.png,12.480334
img_000063.png,12.615411
img_000064.png,12.851886
img_000065.png,13.110244
img_000066.png,13.253682
img_000067.png,13.489964
img_000068.png,13.604508
img_000069.png,13.860188
img_000070.png,14.008830
img_000071.png,14.217967
img_000072.png,14.463385
img_000073.png,14.612468
img_000074.png,14.869705
img_000075.png,15.044335
img_000076.png,15.232986
img_000077.png,15.467401
img_000078.png,15.605563
img_000079.png,15.860840
img_000080.png,16.007497
img_000081.png,16.203400
img_000082.png,16.485057
img_000083.png,16.617052
img_000084.png,16.846790
img_000085.png,17.087603
img_000086.png,17.237023
img_000087.png,17.405399
img_000088.png,17.617898
img_000089.png,17.828274
img_000090.png,18.078295
img_000091.png,18.244742
img_000092.png,18.484540
img_000093.png,18.643809
img_000094.png,18.871627
