image,angle_deg,elapsed_s
img_000000.png,0.000000000,0.000000000
img_000001.png,2.030566224,2.101923000
img_000002.png,4.207356837,4.561220700
img_000003.png,6.407268605,6.480439400
img_000004.png,8.424888344,8.420784800
img_000005.png,10.435871080,10.635585900
img_000006.png,12.474530376,12.420752800
img_000007.png,14.490582371,15.196000000
img_000008.png,16.544534088,17.249559100
img_000009.png,18.826911326,19.598890800
img_000010.png,20.952422798,21.681086400
img_000011.png,23.066373109,23.611398700
img_000012.png,25.120542396,25.974575400
img_000013.png,27.176305388,28.169926900
img_000014.png,29.211404403,30.680477200
img_000015.png,31.222190400,32.623674000
img_000016.png,33.678926810,34.727033400
img_000017.png,35.778275837,37.055732300
img_000018.png,37.779984359,39.032776500
img_000019.png,39.799374773,41.614430000
img_000020.png,41.889382867,43.652839600
img_000021.png,43.927630857,45.731558200
img_000022.png,46.083763175,47.795009100
img_000023.png,48.160824988,49.743289400
img_000024.png,50.196606481,51.960472600
img_000025.png,52.242528091,54.032252500
img_000026.png,54.297281751,56.664927500
img_000027.png,56.425343418,58.735052100
img_000028.png,58.806565931,60.794328100
img_000029.png,60.830896151,63.012006100
img_000030.png,62.837971753,64.934140200
img_000031.png,64.870624570,67.470080000
img_000032.png,66.933545693,69.516755700
img_000033.png,69.006480283,71.841010200
img_000034.png,71.130372311,73.907467700
img_000035.png,73.362526713,75.842811000
img_000036.png,75.427318315,78.205131100
img_000037.png,77.486884517,80.295240000
img_000038.png,79.559579497,82.895478200
img_000039.png,81.731371988,84.941502900
img_000040.png,83.924409924,86.995841100
img_000041.png,86.072306117,89.251933500
img_000042.png,88.119715809,91.312111700
img_000043.png,90.121710535,93.915927300
