image,angle_deg,elapsed_s
img_000000.png,0.000000000,0.000000000
img_000001.png,0.628239894,0.748050100
img_000002.png,1.206259992,1.151446900
img_000003.png,1.715899519,1.967881400
img_000004.png,2.489202548,2.385498500
img_000005.png,3.008856826,2.651300700
img_000006.png,3.560422334,3.485415200
img_000007.png,4.256138742,4.319282500
img_000008.png,4.820199536,4.728365100
img_000009.png,5.342915883,5.677535000
img_000010.png,6.270248142,6.235694600
img_000011.png,6.862870513,6.646258100
img_000012.png,7.398923146,7.610362200
img_000013.png,8.074973627,8.150009600
img_000014.png,8.644963063,8.721301900
img_000015.png,9.202287828,9.663184800
img_000016.png,9.765308646,9.934147500
img_000017.png,10.270054418,10.204021000
img_000018.png,10.792862267,11.034758500
img_000019.png,11.325996079,11.734147200
img_000020.png,11.944161584,12.129225200
img_000021.png,12.466835839,12.982175800
img_000022.png,13.195214349,13.678905800
img_000023.png,13.789574263,13.942466300
img_000024.png,14.312540022,14.756137900
img_000025.png,14.958211939,15.578710500
img_000026.png,15.569137674,15.989330800
img_000027.png,16.113303367,16.932037800
img_000028.png,16.619655421,17.352127200
img_000029.png,17.311417753,17.625527700
img_000030.png,17.826804002,18.326623000
img_000031.png,18.459623209,19.260846400
img_000032.png,19.068718592,19.665141300
img_000033.png,19.583309886,20.367256000
img_000034.png,20.188801154,21.066421700
img_000035.png,20.847514887,21.325503600
img_000036.png,21.371956928,21.876978800
img_000037.png,21.934291172,22.815262700
img_000038.png,22.516782184,23.240715300
img_000039.png,23.037259162,23.784050800
img_000040.png,23.604849756,24.750084700
img_000041.png,24.174389792,25.019222100
img_000042.png,24.682226849,25.303344900
img_000043.png,25.194463194,26.129831900
img_000044.png,25.779961933,26.855842200
img_000045.png,26.327278582,27.138824900
img_000046.png,26.843692825,27.963411200
img_000047.png,27.461734465,28.644902100
img_000048.png,28.154822826,28.928567800
img_000049.png,28.666533275,29.630495800
img_000050.png,29.236152639,30.466234900
img_000051.png,29.850060696,30.863570700
img_000052.png,30.363422106,31.576418800
img_000053.png,30.965491679,32.385356200
img_000054.png,31.662081507,32.668732700
img_000055.png,32.163546267,33.207872000
img_000056.png,32.713485227,34.154873800
img_000057.png,33.272540562,34.575943200
img_000058.png,33.870467766,35.156896400
img_000059.png,34.459467332,36.119262900
img_000060.png,35.063160288,36.385499900
img_000061.png,35.637821435,36.801331000
img_000062.png,36.192607134,37.764398100
img_000063.png,36.810372697,38.314841700
img_000064.png,37.398958269,38.855777300
img_000065.png,37.977430687,39.841469200
img_000066.png,38.545499989,40.112027800
img_000067.png,39.180917622,40.509364200
img_000068.png,39.776231690,41.491790500
img_000069.png,40.290410813,42.035079400
img_000070.png,40.854888980,42.444903100
img_000071.png,41.396127661,43.432647000
img_000072.png,41.962687941,43.834562100
img_000073.png,42.618271737,44.120985500
img_000074.png,43.190795961,45.073632000
img_000075.png,43.805177001,45.765520300
img_000076.png,44.395320018,46.186336800
img_000077.png,44.950681466,47.150147100
img_000078.png,45.797200405,47.715627400
img_000079.png,46.313357670,47.999912600
img_000080.png,46.879129954,48.997127700
img_000081.png,47.420974780,49.556226500
img_000082.png,48.007460313,49.968746000
img_000083.png,48.570603518,50.955701600
img_000084.png,49.086826709,51.379227000
img_000085.png,49.713342972,51.631626900
img_000086.png,50.308957699,52.345108100
img_000087.png,50.916037888,53.182718700
img_000088.png,51.490347900,53.578444500
img_000089.png,52.004542132,54.278318900
img_000090.png,53.369759211,55.377426000
img_000091.png,53.915920508,56.199525200
img_000092.png,54.579679720,57.050350500
img_000093.png,55.193550572,57.460564700
img_000094.png,55.727533664,58.406877900
img_000095.png,56.501432223,58.966417000
img_000096.png,57.053212317,59.252051500
img_000097.png,57.607763017,60.190279700
img_000098.png,58.276053509,60.900099600
img_000099.png,58.831869107,61.308147400
img_000100.png,59.346018356,62.253689500
img_000101.png,60.165884476,62.815692000
img_000102.png,60.806466861,63.239063500
img_000103.png,61.365115373,64.219712300
img_000104.png,61.963297779,64.771848300
img_000105.png,62.523174881,65.203917000
img_000106.png,63.029035641,66.165691400
img_000107.png,63.796222665,66.593637300
img_000108.png,64.350846358,66.852002600
img_000109.png,64.933749863,67.845777800
img_000110.png,65.454172546,68.396721900
img_000111.png,66.051853265,68.811213800
img_000112.png,66.568066711,69.781070200
img_000113.png,67.098454326,70.205285200
img_000114.png,67.602634050,70.378396900
img_000115.png,68.105722893,70.902174300
img_000116.png,68.693500356,71.872427400
img_000117.png,69.331410055,72.277362600
img_000118.png,69.838173532,72.816807300
img_000119.png,70.456728096,73.789711000
img_000120.png,71.050781583,74.056649300
img_000121.png,71.645953310,74.485744700
img_000122.png,72.180298807,75.435058600
img_000123.png,72.779121859,75.974503000
img_000124.png,73.280551024,76.382854200
img_000125.png,73.806697108,77.335710400
img_000126.png,74.575852836,77.776065000
img_000127.png,75.180212734,78.186228700
img_000128.png,75.735228295,79.158092500
img_000129.png,76.305998974,79.721566200
img_000130.png,76.835301471,80.120536600
img_000131.png,77.406845200,81.097252000
img_000132.png,77.949109911,81.511352700
img_000133.png,78.614055332,81.797468800
img_000134.png,79.185334463,82.661152600
img_000135.png,79.818383702,83.340337300
img_000136.png,80.382805361,83.753715200
img_000137.png,80.883943353,84.580711400
img_000138.png,81.652368821,85.252326000
img_000139.png,82.235886209,85.527363100
img_000140.png,82.762081471,86.355864200
img_000141.png,83.410707703,87.163069800
img_000142.png,83.956858446,87.560308900
img_000143.png,84.482976304,88.400536300
img_000144.png,85.332906044,89.096610900
img_000145.png,85.879229711,89.379689500
img_000146.png,86.397277893,90.217482100
img_000147.png,86.988260199,90.921133900
img_000148.png,87.521384632,91.312119100
img_000149.png,88.084860511,92.142522800
img_000150.png,88.620974077,92.685079300
img_000151.png,89.451476805,92.967616200
img_000152.png,89.973433817,93.798841500
img_000153.png,90.539168319,94.499364800
img_000154.png,91.094548394,94.901915600
img_000155.png,91.599850554,95.608870800
img_000156.png,92.341646964,96.431741300
img_000157.png,93.014806742,96.707696500
img_000158.png,93.534897939,97.525891800
img_000159.png,94.178952105,98.335946100
img_000160.png,94.772371712,98.764941300
img_000161.png,95.273727547,99.586769500
img_000162.png,96.109430049,100.269013700
img_000163.png,96.677612645,100.570036800
img_000164.png,97.256134068,101.532558500
img_000165.png,97.908676596,102.214047200
img_000166.png,98.452408663,102.628353700
img_000167.png,98.972385613,103.566049900
img_000168.png,99.793835275,104.119694200
img_000169.png,100.423805660,104.547942800
img_000170.png,100.940511735,105.494614100
img_000171.png,101.538041389,106.046473400
img_000172.png,102.055432531,106.461440900
img_000173.png,102.581166267,107.409886000
img_000174.png,103.092812227,107.838432500
img_000175.png,103.749949412,108.102843200
img_000176.png,104.250474278,108.776198500
img_000177.png,104.796212652,109.613693100
img_000178.png,105.353197030,110.022724400
img_000179.png,105.867746122,110.572419300
img_000180.png,106.494684279,111.536971300
img_000181.png,107.204156585,111.822983600
img_000182.png,107.756157797,112.361755300
img_000183.png,108.435855542,113.360601900
img_000184.png,109.063894359,113.785971600
img_000185.png,109.621937581,114.592571300
img_000186.png,110.147877430,115.275714500
img_000187.png,110.872146433,115.562304800
img_000188.png,111.414682449,116.131061100
img_000189.png,112.026932547,117.081656200
img_000190.png,112.614369768,117.506978900
img_000191.png,113.154269595,118.185796000
img_000192.png,113.754426601,119.023949300
img_000193.png,114.479042427,119.295483500
img_000194.png,115.010758181,119.860161400
img_000195.png,115.652617346,120.831564000
img_000196.png,116.251556774,121.247330700
img_000197.png,116.767407489,121.959152200
img_000198.png,117.393450059,122.781289700
img_000199.png,118.095602652,123.044250900
img_000200.png,118.621453545,123.608168600
img_000201.png,119.207489675,124.440739200
img_000202.png,119.795814080,124.851448300
img_000203.png,120.334182794,125.530686400
img_000204.png,120.909495635,126.372387100
img_000205.png,121.654884665,126.657630600
img_000206.png,122.213287287,127.225060800
img_000207.png,122.840025456,128.178616900
img_000208.png,123.438249538,128.599737500
img_000209.png,123.968461178,129.294244900
img_000210.png,124.640839438,130.131236900
img_000211.png,125.281369382,130.290253800
img_000212.png,125.833538723,130.960494700
img_000213.png,126.479201177,131.914411900
