image,distance_mm
img_000000.png,0.000000
img_000001.png,0.229350
img_000002.png,0.420534
img_000003.png,0.648781
img_000004.png,0.800613
img_000005.png,1.002985
img_000006.png,1.223123
img_000007.png,1.430795
img_000008.png,1.639019
img_000009.png,1.826076
img_000010.png,2.022012
img_000011.png,2.229828
img_000012.png,2.421931
img_000013.png,2.642096
img_000014.png,2.826645
img_000015.png,3.027856
img_000016.png,3.222011
img_000017.png,3.431074
img_000018.png,3.619472
img_000019.png,3.831924
img_000020.png,4.023696
img_000021.png,4.236897
img_000022.png,4.424802
img_000023.png,4.628327
img_000024.png,4.822440
img_000025.png,5.030422
img_000026.png,5.222991
img_000027.png,5.415887
img_000028.png,5.600670
img_000029.png,5.831379
img_000030.png,6.020343
img_000031.png,6.246352
img_000032.png,6.421268
img_000033.png,6.632222
img_000034.png,6.822831
img_000035.png,7.031622
img_000036.png,7.222601
img_000037.png,7.429514
img_000038.png,7.621877
img_000039.png,7.828473
img_000040.png,8.021104
img_000041.png,8.244261
img_000042.png,8.420661
img_000043.png,8.628849
img_000044.png,8.820382
img_000045.png,9.031367
img_000046.png,9.219008
img_000047.png,9.403107
img_000048.png,9.621043
img_000049.png,9.811292
img_000050.png,10.021809
img_000051.png,10.233953
img_000052.png,10.420839
img_000053.png,10.604743
img_000054.png,10.821109
img_000055.png,11.016252
img_000056.png,11.222250
img_000057.png,11.412675
img_000058.png,11.622392
img_000059.png,11.813886
img_000060.png,12.020698
img_000061.png,12.240229
img_000062.png,12.429137
img_000063.png,12.611036
img_000064.png,12.820310
img_000065.png,13.012192
img_000066.png,13.221814
img_000067.png,13.419481
img_000068.png,13.621547
img_000069.png,13.814409
img_000070.png,14.023197
img_000071.png,14.230562
img_000072.png,14.419569
img_000073.png,14.609024
img_000074.png,14.819239
img_000075.png,15.014003
img_000076.png,15.222059
img_000077.png,15.440734
img_000078.png,15.623057
img_000079.png,15.818122
img_000080.png,16.021890
img_000081.png,16.247278
img_000082.png,16.421974
img_000083.png,16.616209
img_000084.png,16.822678
img_000085.png,17.017771
img_000086.png,17.223134
img_000087.png,17.434323
img_000088.png,17.618450
img_000089.png,17.813445
img_000090.png,18.019695
img_000091.png,18.216089
img_000092.png,18.421067
img_000093.png,18.612403
img_000094.png,18.819341
img_000095.png,19.014199
img_000096.png,19.220071
img_000097.png,19.434164
img_000098.png,19.621650
img_000099.png,19.815114
img_000100.png,20.022701
img_000101.png,20.215973
img_000102.png,20.422601
img_000103.png,20.615339
img_000104.png,20.821171
img_000105.png,21.018408
img_000106.png,21.221656
img_000107.png,21.449600
img_000108.png,21.620945
img_000109.png,21.812097
img_000110.png,22.022162
img_000111.png,22.214831
img_000112.png,22.422228
img_000113.png,22.608255
img_000114.png,22.828750
img_000115.png,23.011335
img_000116.png,23.204216
img_000117.png,23.431632
img_000118.png,23.608896
img_000119.png,23.813766
img_000120.png,24.006673
img_000121.png,24.213597
img_000122.png,24.405139
img_000123.png,24.607407
img_000124.png,24.807045
img_000125.png,25.010561
img_000126.png,25.202947
img_000127.png,25.443054
img_000128.png,25.607069
img_000129.png,25.814823
img_000130.png,26.005847
img_000131.png,26.212250
img_000132.png,26.432954
img_000133.png,26.622600
img_000134.png,26.808071
img_000135.png,27.016924
img_000136.png,27.206760
img_000137.png,27.465319
img_000138.png,27.606812
img_000139.png,27.815039
img_000140.png,28.008591
img_000141.png,28.215761
img_000142.png,28.411603
img_000143.png,28.614335
img_000144.png,28.804587
img_000145.png,29.015432
img_000146.png,29.206565
img_000147.png,29.430455
img_000148.png,29.606649
img_000149.png,29.818146
img_000150.png,30.006707
img_000151.png,30.214029
img_000152.png,30.432153
img_000153.png,30.603783
img_000154.png,30.806324
img_000155.png,31.016026
img_000156.png,31.207436
img_000157.png,31.449625
img_000158.png,31.605502
img_000159.png,31.815559
img_000160.png,32.003078
img_000161.png,32.214427
img_000162.png,32.426117
img_000163.png,32.616423
img_000164.png,32.805655
img_000165.png,33.010802
img_000166.png,33.207258
img_000167.png,33.449262
img_000168.png,33.607372
img_000169.png,33.814487
img_000170.png,34.005570
img_000171.png,34.213801
img_000172.png,34.436222
img_000173.png,34.615300
img_000174.png,34.807381
img_000175.png,35.013128
img_000176.png,35.206262
img_000177.png,35.428614
img_000178.png,35.601345
img_000179.png,35.814918
img_000180.png,36.006308
img_000181.png,36.245327
img_000182.png,36.432263
img_000183.png,36.603294
img_000184.png,36.804157
img_000185.png,37.045720
img_000186.png,37.206420
img_000187.png,37.421524
img_000188.png,37.603439
img_000189.png,37.846652
img_000190.png,38.008356
img_000191.png,38.200069
img_000192.png,38.401172
img_000193.png,38.631344
img_000194.png,38.804317
img_000195.png,39.014530
img_000196.png,39.205685
img_000197.png,39.431688
img_000198.png,39.604477
img_000199.png,39.828106
img_000200.png,40.016694
img_000201.png,40.228445
img_000202.png,40.405142
img_000203.png,40.600349
img_000204.png,40.806417
img_000205.png,41.024641
img_000206.png,41.203401
img_000207.png,41.428196
img_000208.png,41.604765
img_000209.png,41.844019
img_000210.png,42.045018
img_000211.png,42.201729
img_000212.png,42.405708
img_000213.png,42.602086
img_000214.png,42.803112
img_000215.png,43.029524
img_000216.png,43.204612
img_000217.png,43.431072
img_000218.png,43.605074
img_000219.png,43.800755
img_000220.png,44.036413
img_000221.png,44.205432
img_000222.png,44.405103
img_000223.png,44.630147
img_000224.png,44.805705
img_000225.png,45.011745
img_000226.png,45.206651
img_000227.png,45.430174
img_000228.png,45.606502
img_000229.png,45.856687
img_000230.png,46.023736
img_000231.png,46.201654
img_000232.png,46.402811
img_000233.png,46.631764
img_000234.png,46.805877
img_000235.png,47.016505
img_000236.png,47.204341
img_000237.png,47.426458
img_000238.png,47.606121
img_000239.png,47.859673
img_000240.png,48.005115
img_000241.png,48.200843
img_000242.png,48.405859
img_000243.png,48.629467
img_000244.png,48.808742
img_000245.png,49.030999
img_000246.png,49.238165
img_000247.png,49.429552
img_000248.png,49.636810
img_000249.png,49.845716
img_000250.png,50.030431
img_000251.png,50.231549
img_000252.png,50.437794
img_000253.png,50.629136
img_000254.png,50.844832
img_000255.png,51.044362
img_000256.png,51.219019
img_000257.png,51.434609
img_000258.png,51.624292
img_000259.png,51.871618
img_000260.png,52.020014
img_000261.png,52.201334
img_000262.png,52.422759
img_000263.png,52.626929
